logged_at,schema_version,kind,engine,run_id,run_id_short,spec_source,scenario_title,scenario_source,pair_key,trials,wins_attacker,wins_defender,draws,no_result,attacker_win_rate,defender_win_rate,draw_rate,no_result_rate,avg_time,attacker_pos,defender_pos,start_distance,encounter_type,defender_count,a_name,a_level,a_hp,a_atk,a_role,a_cost,a_range,a_attack_speed,a_move_speed,a_target_type,a_attack_type,a_hp_per_level,a_atk_per_level,d_name,d_level,d_hp,d_atk,d_role,d_cost,d_range,d_attack_speed,d_move_speed,d_target_type,d_attack_type,d_hp_per_level,d_atk_per_level,a_dps,d_dps,a_ttk_est,d_ttk_est,dps_adv,range_adv,ttk_adv,label_majority_winner,label_attacker_better
2025-12-18T21:30:40,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Dark Shaman__vs__Archer__duel__x1,100,0,100,0,0,0.0,1.0,0.0,0.0,3.333333333333332,,,,duel,1,Dark Shaman,1,80,16,ground_enemy,120,3,0.9,1.2,tower,magic,25,5,Archer,1,80,20,tower,100,4,1.2,0.0,both,ranged,25,6,14.4,24.0,5.555555555555555,3.3333333333333335,-9.6,-1.0,-2.222222222222222,defender,0
2025-12-18T21:30:40,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Knight__vs__AntiAir Tower__duel__x1,100,0,0,0,100,0.0,0.0,0.0,1.0,60.04999999999837,,,,duel,1,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,AntiAir Tower,1,90,22,tower,130,5,1.0,0.0,air,ranged,25,6,15.0,22.0,6.0,5.454545454545454,-7.0,-4.0,-0.5454545454545459,tie,0
2025-12-18T21:30:40,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Mage__vs__Archer__duel__x1,100,0,0,0,100,0.0,0.0,0.0,1.0,60.00000000000002,,,,duel,1,Mage,1,70,25,tower,120,3,0.9,0.0,ground,magic,20,7,Archer,1,80,20,tower,100,4,1.2,0.0,both,ranged,25,6,22.5,24.0,3.5555555555555554,2.9166666666666665,-1.5,-1.0,-0.6388888888888888,tie,0
2025-12-18T21:30:41,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Dark Shaman__vs__Ogre Boss__duel__x1,100,0,0,0,100,0.0,0.0,0.0,1.0,60.0500000000001,,,,duel,1,Dark Shaman,1,80,16,ground_enemy,120,3,0.9,1.2,tower,magic,25,5,Ogre Boss,1,400,20,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,14.4,12.0,27.77777777777778,6.666666666666667,2.4000000000000004,2.0,-21.11111111111111,tie,0
2025-12-18T21:30:41,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Archer__vs__Wyvern__duel__x1,100,100,0,0,0,1.0,0.0,0.0,0.0,4.166666666666671,,,,duel,1,Archer,1,80,20,tower,100,4,1.2,0.0,both,ranged,25,6,Wyvern,1,90,14,air_enemy,110,1,1.0,2.0,tower,melee,30,4,24.0,14.0,3.75,5.714285714285714,10.0,3.0,1.9642857142857144,attacker,1
2025-12-18T21:30:41,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Runner__vs__Knight__duel__x1,100,0,100,0,0,0.0,1.0,0.0,0.0,3.9999999999999996,,,,duel,1,Runner,1,40,6,ground_enemy,35,1,1.5,2.5,tower,melee,15,2,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,9.0,15.0,13.333333333333334,2.6666666666666665,-6.0,0.0,-10.666666666666668,defender,0
2025-12-18T21:30:41,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Knight__vs__Archer__duel__x1,100,0,0,0,100,0.0,0.0,0.0,1.0,60.0,,,,duel,1,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,Archer,1,80,20,tower,100,4,1.2,0.0,both,ranged,25,6,15.0,24.0,5.333333333333333,5.0,-9.0,-3.0,-0.33333333333333304,tie,0
2025-12-18T21:30:41,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Ogre Boss__vs__Wyvern__duel__x1,100,0,0,0,100,0.0,0.0,0.0,1.0,60.04999999999995,,,,duel,1,Ogre Boss,1,400,20,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,Wyvern,1,90,14,air_enemy,110,1,1.0,2.0,tower,melee,30,4,12.0,14.0,7.5,28.571428571428573,-2.0,0.0,21.071428571428573,tie,0
2025-12-18T21:30:41,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Knight__vs__Ogre Boss__duel__x1,100,0,100,0,0,0.0,1.0,0.0,0.0,13.333333333333329,,,,duel,1,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,Ogre Boss,1,400,20,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,15.0,12.0,26.666666666666668,10.0,3.0,0.0,-16.666666666666668,defender,0
2025-12-18T21:30:41,v1,auto_experiment,simulate_duel_2d,8227076c-9722-4bb3-8d9f-f53fab9d2a86,8227076c,units_runtime,,,Tank__vs__Dark Shaman__duel__x1,100,100,0,0,0,1.0,0.0,0.0,0.0,14.285714285714283,,,,duel,1,Tank,1,200,10,tower,150,1,0.7,0.0,ground,melee,40,3,Dark Shaman,1,80,16,ground_enemy,120,3,0.9,1.2,tower,magic,25,5,7.0,14.4,11.428571428571429,13.88888888888889,-7.4,-2.0,2.4603174603174605,attacker,1
