logged_at,schema_version,kind,engine,run_id,run_id_short,spec_source,scenario_title,scenario_source,pair_key,pair_key_full,trials,wins_attacker,wins_defender,draws,no_result,attacker_win_rate,defender_win_rate,draw_rate,no_result_rate,avg_time,attacker_pos,defender_pos,start_distance,encounter_type,defender_count,a_name,a_level,a_hp,a_atk,a_role,a_cost,a_range,a_attack_speed,a_move_speed,a_target_type,a_attack_type,a_hp_per_level,a_atk_per_level,d_name,d_level,d_hp,d_atk,d_role,d_cost,d_range,d_attack_speed,d_move_speed,d_target_type,d_attack_type,d_hp_per_level,d_atk_per_level,a_perk_count,d_perk_count,perk_count_adv,a_has_perk_armor,a_has_perk_cleave,a_has_perk_duelist,a_has_perk_execute,a_has_perk_fury,a_has_perk_haste,a_has_perk_lifesteal,a_has_perk_longshot,a_has_perk_rapid,a_has_perk_shield,d_has_perk_armor,d_has_perk_cleave,d_has_perk_duelist,d_has_perk_execute,d_has_perk_fury,d_has_perk_haste,d_has_perk_lifesteal,d_has_perk_longshot,d_has_perk_rapid,d_has_perk_shield,perk_adv_armor,perk_adv_cleave,perk_adv_duelist,perk_adv_execute,perk_adv_fury,perk_adv_haste,perk_adv_lifesteal,perk_adv_longshot,perk_adv_rapid,perk_adv_shield,a_dps,d_dps,a_ttk_est,d_ttk_est,dps_adv,range_adv,ttk_adv,label_majority_winner,label_attacker_better
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Knight__vs__Tank__duel__x1,Knight@L1|none__vs__Tank@L3|execute__duel__x1__distna,20,0,0,0,20,0.0,0.0,0.0,1.0,60.04999999999994,,,,duel,1,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,Tank,3,280,16,tower,150,1,0.7,0.0,ground,melee,40,3,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,15.0,11.2,18.666666666666668,10.714285714285715,3.8000000000000007,0.0,-7.9523809523809526,tie,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Goblin__vs__Mage__duel__x1,Goblin@L6|execute+rapid__vs__Mage@L7|haste+rapid__duel__x1__distna,20,0,20,0,0,0.0,1.0,0.0,0.0,6.064814814814815,,,,duel,1,Goblin,6,160,23,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,Mage,7,190,67,tower,120,3,0.9,0.0,ground,magic,20,7,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,29.900000000000002,60.300000000000004,6.354515050167223,2.6533996683250414,-30.400000000000002,-2.0,-3.701115381842182,defender,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Goblin__vs__Tank__duel__x1,Goblin@L6|longshot+shield__vs__Tank@L5|rapid__duel__x1__distna,20,0,20,0,0,0.0,1.0,0.0,0.0,13.928571428571427,,,,duel,1,Goblin,6,160,23,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,Tank,5,360,22,tower,150,1,0.7,0.0,ground,melee,40,3,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,1,29.900000000000002,15.399999999999999,12.040133779264213,10.389610389610391,14.500000000000004,0.0,-1.6505233896538218,defender,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Runner__vs__AntiAir Tower__duel__x1,Runner@L6|longshot+shield__vs__AntiAir Tower@L8|armor+shield__duel__x1__distna,20,20,0,0,0,1.0,0.0,0.0,0.0,17.63333333333333,,,,duel,1,Runner,6,115,16,ground_enemy,35,1,1.5,2.5,tower,melee,15,2,AntiAir Tower,8,265,64,tower,130,5,1.0,0.0,air,ranged,25,6,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,24.0,64.0,11.041666666666666,1.796875,-40.0,-4.0,-9.244791666666666,attacker,1
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Runner__vs__Wyvern__duel__x1,Runner@L3|fury__vs__Wyvern@L1|none__duel__x1__distna,20,0,0,0,20,0.0,0.0,0.0,1.0,60.04999999999993,,,,duel,1,Runner,3,70,10,ground_enemy,35,1,1.5,2.5,tower,melee,15,2,Wyvern,1,90,14,air_enemy,110,1,1.0,2.0,tower,melee,30,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.0,14.0,6.0,5.0,1.0,0.0,-1.0,tie,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Dark Shaman__vs__Ogre Boss__duel__x1,Dark Shaman@L5|execute__vs__Ogre Boss@L1|none__duel__x1__distna,20,0,0,0,20,0.0,0.0,0.0,1.0,60.04999999999997,,,,duel,1,Dark Shaman,5,180,36,ground_enemy,120,3,0.9,1.2,tower,magic,25,5,Ogre Boss,1,400,20,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.4,12.0,12.345679012345679,15.0,20.4,2.0,2.6543209876543212,tie,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Ogre Boss__vs__Goblin__duel__x1,Ogre Boss@L7|lifesteal+rapid__vs__Goblin@L6|haste+shield__duel__x1__distna,20,0,0,0,20,0.0,0.0,0.0,1.0,60.04999999999993,,,,duel,1,Ogre Boss,7,760,56,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,Goblin,6,160,23,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,1,0,1,-1,33.6,29.900000000000002,4.761904761904762,25.418060200668894,3.6999999999999993,0.0,20.65615543876413,tie,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Goblin__vs__Ogre Boss__duel__x1,Goblin@L9|duelist+fury__vs__Ogre Boss@L1|none__duel__x1__distna,20,0,0,0,20,0.0,0.0,0.0,1.0,60.04999999999993,,,,duel,1,Goblin,9,220,32,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,Ogre Boss,1,400,20,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,41.6,12.0,9.615384615384615,18.333333333333332,29.6,0.0,8.717948717948717,tie,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Armored Orc__vs__Archer__duel__x1,Armored Orc@L6|haste+lifesteal__vs__Archer@L7|fury+haste__duel__x1__distna,20,0,20,0,0,0.0,1.0,0.0,0.0,8.458333333333332,,,,duel,1,Armored Orc,6,380,32,ground_enemy,90,1,0.8,1.0,tower,melee,40,4,Archer,7,230,56,tower,100,4,1.2,0.0,both,ranged,25,6,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,25.6,67.2,8.984375,5.654761904761904,-41.6,-3.0,-3.329613095238096,defender,0
2025-12-28T19:02:12,v1,auto_experiment,simulate_duel_2d,4594a0b1-4744-4ffc-99c5-8d00c22d64ed,4594a0b1,units_runtime,,,Goblin__vs__Runner__duel__x1,Goblin@L7|duelist+lifesteal__vs__Runner@L1|none__duel__x1__distna,20,0,0,0,20,0.0,0.0,0.0,1.0,60.04999999999993,,,,duel,1,Goblin,7,180,26,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,Runner,1,40,6,ground_enemy,35,1,1.5,2.5,tower,melee,15,2,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,33.800000000000004,9.0,1.1834319526627217,20.0,24.800000000000004,0.0,18.816568047337277,tie,0
